Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primary market;;;;;;;;;;;;;;;;;;;;;;;Primary market;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ceny ofertowe;;;;;;;;;;;;;;;;;średnia;;;;;Ceny transakcyjne;;;;;;;;;;;;;;;;;;średnia ;;;;;;;;;
;Offer prices;;;;;;;;;;;;;;;;;mean;;;;;Transaction prices;;;;;;;;;;;;;;;;;;mean;;;;;;;;;
;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;
Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia*;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;;;;;
II 2009;4 738;4 897;6 875;6 084;6 615;5 099;7 622;5 079;4 960;4 600;5 015;7 233;3 787;5 324;9 859;5 093;3 538;7 732;5 021;6 558;4 943;;II 2009;4 976;4 835;5 907;5 891;5 411;4 716;7 169;4 693;5 101;4 485;3 471;6 284;3 849;4 958;7 461;5 095;3 366;6 522;4 705;6 002;4 626;;;;;;
III 2009;4 925;4 920;6 096;6 294;5 990;5 122;7 631;5 329;5 255;4 496;5 083;7 030;3 742;5 181;9 993;5 362;3 571;7 730;5 027;6 462;4 941;;III 2009;4 787;4 757;5 804;5 504;4 524;4 678;6 866;4 437;4 755;4 297;3 669;6 146;3 969;5 406;7 585;5 105;3 500;6 502;4 579;5 901;4 442;;;;;;
IV 2009;4 830;4 939;6 179;6 134;5 909;4 978;7 521;5 287;5 250;4 913;5 223;6 725;4 021;4 987;9 915;5 640;3 530;7 696;4 892;6 464;4 955;;IV 2009;4 838;4 694;5 476;5 774;4 866;4 778;6 981;4 830;5 275;4 494;3 492;6 130;3 843;5 057;7 680;5 472;3 459;6 629;4 586;6 048;4 534;;;;;;
I 2010;4 791;5 080;6 078;6 128;6 467;4 958;7 595;5 113;5 290;5 290;5 276;6 685;4 159;5 206;9 119;6 020;3 554;7 468;5 149;6 552;5 100;;I 2010;4 790;4 524;5 839;5 495;5 303;4 798;6 985;4 495;5 020;4 877;3 627;6 436;3 837;4 916;8 173;5 628;3 511;6 842;4 635;6 103;4 545;;;;;;
II 2010;4 640;5 026;5 730;5 693;6 360;4 947;7 559;5 257;5 366;4 840;5 355;6 587;4 274;5 004;8 551;6 090;3 584;7 192;5 078;6 437;5 059;;II 2010;4 802;4 856;5 678;5 278;4 511;4 829;6 920;4 535;4 846;4 602;4 125;6 632;4 039;4 751;7 974;5 938;3 538;6 785;4 609;6 123;4 551;;;;;;
III 2010;4 790;5 036;5 456;6 030;6 420;4 945;7 526;5 002;5 367;5 100;5 429;6 600;4 305;4 983;8 295;6 231;3 628;7 084;5 152;6 412;5 139;;III 2010;4 732;4 954;5 272;5 461;5 071;4 523;6 834;4 821;4 936;5 025;4 054;6 304;4 191;4 840;7 940;5 614;3 563;6 684;4 755;5 985;4 737;;;;;;
IV 2010;4 778;4 733;5 577;6 327;6 085;4 951;7 564;5 003;5 215;5 135;5 497;6 528;4 254;4 959;8 133;6 342;3 673;7 067;4 975;6 476;4 911;;IV 2010;4 755;4 606;5 216;5 617;4 914;4 803;6 789;4 819;4 905;5 010;3 817;6 591;4 572;4 794;7 441;5 735;3 663;6 564;4 738;6 076;4 605;;;;;;
I 2011;4 830;4 764;5 732;6 344;6 122;4 907;7 517;4 993;5 265;4 858;4 840;6 376;4 077;4 980;8 211;6 129;3 660;7 244;4 997;6 708;4 925;;I 2011;4 821;4 730;5 692;6 004;5 329;4 790;6 886;4 896;5 066;4 955;4 759;6 264;4 264;4 855;8 037;5 905;3 651;6 869;4 839;6 220;4 869;;;;;;
II 2011;4 823;4 849;5 630;6 541;6 141;4 954;7 209;5 053;5 002;4 938;4 841;6 328;4 142;5 049;8 396;6 281;3 644;7 255;5 027;6 619;4 955;;II 2011;4 782;4 635;5 661;6 205;4 417;4 967;7 082;4 827;5 123;4 963;4 776;6 536;4 202;4 819;7 527;5 949;3 671;6 789;4 640;6 380;4 599;;;;;;
III 2011;4 828;4 841;5 804;6 344;5 451;4 867;7 061;5 121;5 101;4 920;4 839;6 286;4 283;5 017;8 025;6 388;3 757;7 073;4 889;6 544;4 844;;III 2011;4 843;4 575;5 479;6 430;4 697;4 804;6 958;5 133;4 907;4 896;4 726;6 155;4 178;5 048;7 423;6 098;3 679;6 686;4 759;6 276;4 701;;;;;;
